author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303468355/;Дзержинский;14;14;2;55,0;9150000;-1;30,3 ;8,6 ;;Угрешская ;Котельники;
Елена Стрельникова;realtor;https://dzerzhinsky.cian.ru/sale/flat/302184781/;Дзержинский;11;14;2;52,0;7750000;1996;30 ;8,5 ;;Угрешская ;Котельники;
Владис;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/309052565/;Дзержинский;11;14;2;52,0;7750000;1996;30 ;8,5 ;;Угрешская ;Котельники;
Pokaz360;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307857640/;Дзержинский;4;18;2;100,0;14500000;2011;60 ;30 ;; Ленина;Котельники;Угрешский
Светлана Александровна Грачева;realtor;https://dzerzhinsky.cian.ru/sale/flat/308361784/;Дзержинский;4;9;2;44,3;8200000;1974;29,2 ;6,1 ;; Ленина;Котельники;
ОГРК;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/309058441/;Дзержинский;3;4;2;40,3;8100000;1961;26,7 ;6 ;;Дзержинская ;Котельники;
Владис Новый Город;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308941924/;Дзержинский;3;5;2;50,7;7749000;1990;26 ;8 ;; Лернтова;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/292929894/;Дзержинский;6;18;2;79,7;12400000;2004;38,4 ;9,8 ;;Угрешская ;Котельники;Лесные озёра
Константин Титов;realtor;https://dzerzhinsky.cian.ru/sale/flat/268344569/;Дзержинский;2;5;2;42,0;6650000;1961;27 ;6 ;;Дзержинская ;Котельники;
Ольга Козицкая;realtor;https://dzerzhinsky.cian.ru/sale/flat/306557123/;Дзержинский;7;9;2;44,0;6600000;-1;27 ;6 ;;Дзержинская ;Котельники;
ID 13087967;unknown;https://dzerzhinsky.cian.ru/sale/flat/308071660/;Дзержинский;3;9;2;38,9;6500000;-1;-1,0;6 ;; Лернтова;Котельники;
Елена Белова;realtor;https://dzerzhinsky.cian.ru/sale/flat/308385442/;Дзержинский;7;9;2;42,4;6800000;1978;25 ;7 ;;Лесная ;Котельники;
ИНКОМ-Недвижисть;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/305069803/;Дзержинский;6;13;2;72,5;10900000;-1;42,8 ;15,6 ;;Лесная ;Котельники;
ID 123034503;homeowner;https://dzerzhinsky.cian.ru/sale/flat/308342253/;Дзержинский;3;5;2;41,6;7300000;1961;26,2 ;6,5 ;;проезд Пушкина;Котельники;
Елена Джабраилова;realtor;https://dzerzhinsky.cian.ru/sale/flat/307273951/;Дзержинский;13;17;2;68,0;13950000;2015;35 ;18 ;;Лесная ;Котельники;
ИП Столяр А. И.;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307451075/;Дзержинский;5;17;2;72,1;11000000;2003;40 ;11,5 ;;Угрешская ;Котельники;
ID 71911184;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307358683/;Дзержинский;2;5;2;42,6;6250000;1965;-1,0;6,1 ;; Лернтова;Котельники;
Дтрий Неводов;realtor;https://dzerzhinsky.cian.ru/sale/flat/296158243/;Дзержинский;1;14;2;52,3;8300000;1981;28 ;8 ;;Толинская ;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307066203/;Дзержинский;13;18;2;73,7;11500000;2004;38 ;9,7 ;;Угрешская ;Котельники;Лесные озёра
ID 7892;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308185849/;Дзержинский;7;10;2;89,0;13100000;2008;50,4 ;19 ;;Лесная ;Котельники;
Ирина Благодарова;realtor;https://dzerzhinsky.cian.ru/sale/flat/304889913/;Дзержинский;3;16;2;52,0;8199000;2004;30 ;9 ;;Угрешская ;Котельники;
NSK НЕДВИЖИМОСТЬ;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/304547165/;Дзержинский;7;18;2;68,8;13500000;-1;31,4 ;19,7 ;; Ленина;Котельники;Угрешский
ОГРК;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306156892/;Дзержинский;3;5;2;50,7;7749000;1990;26 ;8 ;; Лернтова;Котельники;
Сергей Потапов;realtor;https://dzerzhinsky.cian.ru/sale/flat/307891311/;Дзержинский;3;16;2;53,9;8999999;-1;27,9 ;11 ;;Лесная ;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303533051/;Дзержинский;5;14;2;72,0;11300000;2003;42 ;15 ;;Угрешская ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308385651/;Дзержинский;9;15;2;62,5;9500000;-1;32 ;12 ;;Угрешская ;Котельники;
Фарид Султанов;realtor;https://dzerzhinsky.cian.ru/sale/flat/294741652/;Дзержинский;5;5;2;62,2;8350000;1959;34,6 ;7,3 ;;Спортивная ;Котельники;
ИНКОМ-Недвижисть. Аренда;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/298753437/;Дзержинский;12;17;2;73,0;11000000;2004;34,7 ;14,6 ;;Угрешская ;Котельники;Лесные озёра
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303200797/;Дзержинский;12;19;2;66,3;11000000;2011;30,3 ;18,5 ;; Ленина;Котельники;Угрешский
МИРА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303217124/;Дзержинский;4;5;2;40,0;5650000;-1;26 ;6 ;; Лернтова;Котельники;
ID 12701923;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307934956/;Дзержинский;5;5;2;41,4;6690000;1961;-1,0;7 ;; Ленина;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308157966/;Дзержинский;4;5;2;44,0;7200000;1967;28 ;6 ;; Лернтова;Котельники;
Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307952965/;Дзержинский;3;9;2;51,0;9000000;1995;-1,0;15 ;;Угрешская ;Котельники;
ID 100194467;homeowner;https://dzerzhinsky.cian.ru/sale/flat/306521671/;Дзержинский;4;5;2;43,3;7000000;-1;26,3 ;6,1 ;; Строителей;Котельники;
Дтрий Зубков;realtor;https://dzerzhinsky.cian.ru/sale/flat/302969401/;Дзержинский;1;5;2;45,2;6999000;1972;29,4 ;6 ;; Лернтова;Котельники;
ОГРК;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/297528673/;Дзержинский;12;17;2;73,0;10950000;2004;34,7 ;14,6 ;;Угрешская ;Котельники;Лесные озёра
ID 113632782;homeowner;https://dzerzhinsky.cian.ru/sale/flat/301593588/;Дзержинский;1;4;2;42,8;7350000;2023;-1,0;-1,0;;Дзержинская ;Котельники;
Ирина Кузнецова;realtor;https://dzerzhinsky.cian.ru/sale/flat/301407912/;Дзержинский;3;4;2;41,0;6390000;1961;29 ;6,3 ;;Дзержинская ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/299465654/;Дзержинский;5;5;2;56,2;7400000;1955;33,6 ;7,2 ;; Акадека Жукова;Котельники;
ID 99043093;homeowner;https://dzerzhinsky.cian.ru/sale/flat/309029948/;Дзержинский;7;18;2;69,0;11300000;2017;38 ;9 ;;Угрешская ;Жулебино;
МИРА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/300578232/;Дзержинский;5;18;2;69,0;10850000;-1;38 ;9 ;;Угрешская ;Жулебино;
BEZRISKA;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307850459/;Дзержинский;13;17;2;53,4;11500000;-1;19 ;20 ;;Угрешская ;Жулебино;
ID 62708050;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307124515/;Дзержинский;5;5;2;45,7;6700000;1966;27 ;6 ;; Ша;Котельники;
Кота Эстейт;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/309056616/;Дзержинский;3;13;2;51,0;9000000;1999;30 ;12 ;;Угрешская ;Котельники;
ID 27967;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306753290/;Дзержинский;3;3;2;54,0;6300000;1956;30 ;7,5 ;;Спортивная ;Котельники;
ОГРК;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303224983/;Дзержинский;7;14;2;50,4;8450000;1995;30,4 ;8,7 ;;Угрешская ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/300102281/;Дзержинский;1;5;2;45,2;6300000;1967;29 ;6 ;; Лернтова;Котельники;
Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307716897/;Дзержинский;6;9;2;42,7;7800000;-1;26,8 ;6 ;;Дзержинская ;Котельники;
ID 11426281;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307552039/;Дзержинский;8;9;2;53,1;7500000;1974;32,5 ;6,7 ;;Спортивная ;Котельники;
